,Total Cases
1,
52,0.0
103,0.0
154,0.0
205,0.0
256,0.0
307,0.0
358,0.0
409,0.0
460,0.0
511,0.0
562,0.0
613,0.0
664,0.0
715,0.0
766,0.0
817,0.0
868,0.0
919,0.0
970,0.0
1021,0.0
1072,0.0
1123,0.0
1174,0.0
1225,0.0
1276,0.0
1327,0.0
1378,0.0
1429,0.0
1480,0.0
1531,0.0
1582,0.0
1633,0.0
1684,0.0
1735,0.0
1786,0.0
1837,0.0
1888,0.0
1939,0.0
1990,0.0
2041,0.0
2092,0.0
2143,0.0
2194,0.0
2245,0.0
2296,0.0
2347,0.0
2398,0.0
2449,0.0
2500,0.0
2551,0.0
2602,5.0
2653,6.0
2704,11.0
2755,7.0
2806,10.0
2857,12.0
2908,27.0
2959,28.0
3010,25.0
3061,36.0
3112,29.0
3163,46.0
3214,144.0
3265,145.0
3316,108.0
3367,78.0
3418,108.0
3469,116.0
3520,56.0
3571,109.0
3622,164.0
3673,264.0
3724,98.0
3775,208.0
3826,163.0
3877,194.0
3928,300.0
3979,341.0
4030,169.0
4081,255.0
4132,319.0
4183,220.0
4234,150.0
4285,286.0
4336,163.0
4387,115.0
4438,204.0
4489,178.0
4540,177.0
4591,243.0
4642,281.0
4693,227.0
4744,201.0
4795,187.0
4846,204.0
4897,120.0
4948,207.0
4999,172.0
5050,147.0
5101,231.0
5152,317.0
5203,274.0
5254,225.0
5305,326.0
5356,255.0
5407,355.0
5458,338.0
5509,284.0
5560,221.0
5611,275.0
5662,304.0
5713,231.0
5764,395.0
5815,293.0
5866,284.0
5917,97.0
5968,310.0
6019,296.0
6070,675.0
6121,361.0
6172,260.0
6223,482.0
6274,355.0
6325,687.0
6376,454.0
6427,381.0
6478,524.0
6529,478.0
6580,327.0
6631,491.0
6682,397.0
6733,181.0
6784,126.0
6835,213.0
6886,307.0
6937,636.0
6988,457.0
7039,424.0
7090,481.0
7141,555.0
7192,848.0
7243,859.0
7294,887.0
7345,1015.0
7396,1037.0
7447,640.0
7498,400.0
7549,894.0
7600,796.0
7651,547.0
7702,472.0
7753,432.0
7804,644.0
7855,967.0
7906,1142.0
7957,974.0
8008,897.0
8059,353.0
8110,1744.0
8161,871.0
8212,917.0
8263,1149.0
8314,1753.0
8365,998.0
8416,1089.0
8467,923.0
8518,910.0
8569,1178.0
8620,2211.0
8671,1335.0
8722,1439.0
8773,1640.0
8824,1958.0
8875,1709.0
8926,1813.0
8977,2021.0
9028,2003.0
9079,2143.0
9130,1777.0
9181,1880.0
9232,1466.0
9283,1455.0
9334,2399.0
9385,1794.0
9436,2125.0
9487,1164.0
9538,1821.0
9589,1177.0
9640,74.0
9691,3394.0
9742,1961.0
9793,1626.0
9844,2095.0
9895,1216.0
9946,1044.0
9997,952.0
10048,1938.0
10099,1707.0
