,Unnamed: 0,State,stateFIPS,Date,Total Cases,Incremental Cases,cases moving_avg,Total Deaths,Incremental Deaths,death moving_avg
0,1,AL,1,2020-01-22,0,,,0,,
1,52,AL,1,2020-01-23,0,0.0,,0,0.0,
2,103,AL,1,2020-01-24,0,0.0,,0,0.0,
3,154,AL,1,2020-01-25,0,0.0,,0,0.0,
4,205,AL,1,2020-01-26,0,0.0,,0,0.0,
5,256,AL,1,2020-01-27,0,0.0,,0,0.0,
6,307,AL,1,2020-01-28,0,0.0,,0,0.0,
7,358,AL,1,2020-01-29,0,0.0,0.0,0,0.0,0.0
8,409,AL,1,2020-01-30,0,0.0,0.0,0,0.0,0.0
9,460,AL,1,2020-01-31,0,0.0,0.0,0,0.0,0.0
10,511,AL,1,2020-02-01,0,0.0,0.0,0,0.0,0.0
11,562,AL,1,2020-02-02,0,0.0,0.0,0,0.0,0.0
12,613,AL,1,2020-02-03,0,0.0,0.0,0,0.0,0.0
13,664,AL,1,2020-02-04,0,0.0,0.0,0,0.0,0.0
14,715,AL,1,2020-02-05,0,0.0,0.0,0,0.0,0.0
15,766,AL,1,2020-02-06,0,0.0,0.0,0,0.0,0.0
16,817,AL,1,2020-02-07,0,0.0,0.0,0,0.0,0.0
17,868,AL,1,2020-02-08,0,0.0,0.0,0,0.0,0.0
18,919,AL,1,2020-02-09,0,0.0,0.0,0,0.0,0.0
19,970,AL,1,2020-02-10,0,0.0,0.0,0,0.0,0.0
20,1021,AL,1,2020-02-11,0,0.0,0.0,0,0.0,0.0
21,1072,AL,1,2020-02-12,0,0.0,0.0,0,0.0,0.0
22,1123,AL,1,2020-02-13,0,0.0,0.0,0,0.0,0.0
23,1174,AL,1,2020-02-14,0,0.0,0.0,0,0.0,0.0
24,1225,AL,1,2020-02-15,0,0.0,0.0,0,0.0,0.0
25,1276,AL,1,2020-02-16,0,0.0,0.0,0,0.0,0.0
26,1327,AL,1,2020-02-17,0,0.0,0.0,0,0.0,0.0
27,1378,AL,1,2020-02-18,0,0.0,0.0,0,0.0,0.0
28,1429,AL,1,2020-02-19,0,0.0,0.0,0,0.0,0.0
29,1480,AL,1,2020-02-20,0,0.0,0.0,0,0.0,0.0
30,1531,AL,1,2020-02-21,0,0.0,0.0,0,0.0,0.0
31,1582,AL,1,2020-02-22,0,0.0,0.0,0,0.0,0.0
32,1633,AL,1,2020-02-23,0,0.0,0.0,0,0.0,0.0
33,1684,AL,1,2020-02-24,0,0.0,0.0,0,0.0,0.0
34,1735,AL,1,2020-02-25,0,0.0,0.0,0,0.0,0.0
35,1786,AL,1,2020-02-26,0,0.0,0.0,0,0.0,0.0
36,1837,AL,1,2020-02-27,0,0.0,0.0,0,0.0,0.0
37,1888,AL,1,2020-02-28,0,0.0,0.0,0,0.0,0.0
38,1939,AL,1,2020-02-29,0,0.0,0.0,0,0.0,0.0
39,1990,AL,1,2020-03-01,0,0.0,0.0,0,0.0,0.0
40,2041,AL,1,2020-03-02,0,0.0,0.0,0,0.0,0.0
