,Unnamed: 0,Unnamed: 0.1,County Name,countyFIPS,State,stateFIPS,Date,Total Cases,Incremental Cases,cases moving_average,Total Deaths,Incremental Deaths,death moving_average,population,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1336,1336,1670,Baldwin County,1003,AL,1,2020-01-22,0,,,0,,,223234,,,,,,,,,,,,,,
1337,1337,1671,Baldwin County,1003,AL,1,2020-01-23,0,0.0,,0,0.0,,223234,,,,,,,,,,,,,,
1338,1338,1672,Baldwin County,1003,AL,1,2020-01-24,0,0.0,,0,0.0,,223234,,,,,,,,,,,,,,
1339,1339,1673,Baldwin County,1003,AL,1,2020-01-25,0,0.0,,0,0.0,,223234,,,,,,,,,,,,,,
1340,1340,1674,Baldwin County,1003,AL,1,2020-01-26,0,0.0,,0,0.0,,223234,,,,,,,,,,,,,,
1341,1341,1675,Baldwin County,1003,AL,1,2020-01-27,0,0.0,,0,0.0,,223234,,,,,,,,,,,,,,
1342,1342,1676,Baldwin County,1003,AL,1,2020-01-28,0,0.0,,0,0.0,,223234,,,,,,,,,,,,,,
1343,1343,1677,Baldwin County,1003,AL,1,2020-01-29,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1344,1344,1678,Baldwin County,1003,AL,1,2020-01-30,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1345,1345,1679,Baldwin County,1003,AL,1,2020-01-31,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1346,1346,1680,Baldwin County,1003,AL,1,2020-02-01,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1347,1347,1681,Baldwin County,1003,AL,1,2020-02-02,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1348,1348,1682,Baldwin County,1003,AL,1,2020-02-03,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1349,1349,1683,Baldwin County,1003,AL,1,2020-02-04,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1350,1350,1684,Baldwin County,1003,AL,1,2020-02-05,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1351,1351,1685,Baldwin County,1003,AL,1,2020-02-06,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1352,1352,1686,Baldwin County,1003,AL,1,2020-02-07,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1353,1353,1687,Baldwin County,1003,AL,1,2020-02-08,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1354,1354,1688,Baldwin County,1003,AL,1,2020-02-09,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1355,1355,1689,Baldwin County,1003,AL,1,2020-02-10,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1356,1356,1690,Baldwin County,1003,AL,1,2020-02-11,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1357,1357,1691,Baldwin County,1003,AL,1,2020-02-12,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1358,1358,1692,Baldwin County,1003,AL,1,2020-02-13,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1359,1359,1693,Baldwin County,1003,AL,1,2020-02-14,0,0.0,0.0,0,0.0,0.0,223234,,,,,,,,,,,,,,
1360,1360,1694,Baldwin County,1003,AL,1,2020-02-15,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-15,17.0,12.0,55.0,8.0,6.0,-2.0
1361,1361,1695,Baldwin County,1003,AL,1,2020-02-16,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-16,8.0,8.0,-12.0,7.0,-3.0,2.0
1362,1362,1696,Baldwin County,1003,AL,1,2020-02-17,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-17,9.0,9.0,31.0,7.0,-3.0,1.0
1363,1363,1697,Baldwin County,1003,AL,1,2020-02-18,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-18,7.0,8.0,21.0,0.0,2.0,0.0
1364,1364,1698,Baldwin County,1003,AL,1,2020-02-19,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-19,12.0,9.0,41.0,8.0,3.0,-1.0
1365,1365,1699,Baldwin County,1003,AL,1,2020-02-20,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-20,5.0,5.0,-10.0,4.0,0.0,3.0
1366,1366,1700,Baldwin County,1003,AL,1,2020-02-21,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-21,15.0,13.0,59.0,18.0,1.0,-1.0
1367,1367,1701,Baldwin County,1003,AL,1,2020-02-22,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-22,15.0,17.0,56.0,4.0,4.0,-2.0
1368,1368,1702,Baldwin County,1003,AL,1,2020-02-23,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-23,17.0,20.0,92.0,19.0,4.0,-2.0
1369,1369,1703,Baldwin County,1003,AL,1,2020-02-24,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-24,10.0,9.0,12.0,1.0,-15.0,3.0
1370,1370,1704,Baldwin County,1003,AL,1,2020-02-25,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-25,11.0,10.0,34.0,2.0,-23.0,3.0
1371,1371,1705,Baldwin County,1003,AL,1,2020-02-26,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-26,20.0,19.0,38.0,8.0,2.0,-1.0
1372,1372,1706,Baldwin County,1003,AL,1,2020-02-27,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-27,13.0,11.0,39.0,7.0,1.0,0.0
1373,1373,1707,Baldwin County,1003,AL,1,2020-02-28,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-28,13.0,14.0,66.0,9.0,2.0,-1.0
1374,1374,1708,Baldwin County,1003,AL,1,2020-02-29,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-02-29,18.0,17.0,109.0,16.0,9.0,-3.0
1375,1375,1709,Baldwin County,1003,AL,1,2020-03-01,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-01,17.0,23.0,53.0,36.0,8.0,-2.0
1376,1376,1710,Baldwin County,1003,AL,1,2020-03-02,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-02,7.0,10.0,27.0,3.0,4.0,-1.0
1377,1377,1711,Baldwin County,1003,AL,1,2020-03-03,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-03,13.0,14.0,37.0,6.0,4.0,-2.0
1378,1378,1712,Baldwin County,1003,AL,1,2020-03-04,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-04,4.0,6.0,6.0,2.0,3.0,1.0
1379,1379,1713,Baldwin County,1003,AL,1,2020-03-05,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-05,7.0,11.0,25.0,4.0,3.0,0.0
1380,1380,1714,Baldwin County,1003,AL,1,2020-03-06,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-06,8.0,10.0,63.0,10.0,4.0,-1.0
1381,1381,1715,Baldwin County,1003,AL,1,2020-03-07,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-07,16.0,22.0,68.0,14.0,12.0,-2.0
1382,1382,1716,Baldwin County,1003,AL,1,2020-03-08,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-08,19.0,26.0,72.0,30.0,8.0,-1.0
1383,1383,1717,Baldwin County,1003,AL,1,2020-03-09,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-09,10.0,14.0,44.0,8.0,5.0,-1.0
1384,1384,1718,Baldwin County,1003,AL,1,2020-03-10,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-10,11.0,14.0,60.0,10.0,4.0,-1.0
1385,1385,1719,Baldwin County,1003,AL,1,2020-03-11,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-11,17.0,19.0,62.0,20.0,6.0,-2.0
1386,1386,1720,Baldwin County,1003,AL,1,2020-03-12,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-12,15.0,28.0,65.0,17.0,3.0,-2.0
1387,1387,1721,Baldwin County,1003,AL,1,2020-03-13,0,0.0,0.0,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-13,15.0,38.0,105.0,19.0,-3.0,0.0
1388,1388,1722,Baldwin County,1003,AL,1,2020-03-14,1,1.0,0.14285714285714285,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-14,16.0,42.0,92.0,21.0,10.0,-1.0
1389,1389,1723,Baldwin County,1003,AL,1,2020-03-15,1,0.0,0.14285714285714285,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-15,16.0,49.0,84.0,35.0,6.0,0.0
1390,1390,1724,Baldwin County,1003,AL,1,2020-03-16,1,0.0,0.14285714285714285,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-16,9.0,39.0,48.0,5.0,-2.0,2.0
1391,1391,1725,Baldwin County,1003,AL,1,2020-03-17,1,0.0,0.14285714285714285,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-17,1.0,31.0,57.0,10.0,-7.0,4.0
1392,1392,1726,Baldwin County,1003,AL,1,2020-03-18,1,0.0,0.14285714285714285,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-18,-3.0,31.0,58.0,10.0,-15.0,6.0
1393,1393,1727,Baldwin County,1003,AL,1,2020-03-19,1,0.0,0.14285714285714285,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-19,-14.0,24.0,31.0,2.0,-18.0,8.0
1394,1394,1728,Baldwin County,1003,AL,1,2020-03-20,2,1.0,0.2857142857142857,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-20,-28.0,13.0,8.0,-7.0,-24.0,10.0
1395,1395,1729,Baldwin County,1003,AL,1,2020-03-21,2,0.0,0.14285714285714285,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-21,-39.0,2.0,-25.0,-11.0,-15.0,9.0
1396,1396,1730,Baldwin County,1003,AL,1,2020-03-22,3,1.0,0.2857142857142857,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-22,-40.0,-6.0,-14.0,-3.0,-25.0,8.0
1397,1397,1731,Baldwin County,1003,AL,1,2020-03-23,3,0.0,0.2857142857142857,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-23,-35.0,-9.0,-27.0,-13.0,-27.0,10.0
1398,1398,1732,Baldwin County,1003,AL,1,2020-03-24,4,1.0,0.42857142857142855,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-24,-36.0,-9.0,-21.0,-11.0,-29.0,12.0
1399,1399,1733,Baldwin County,1003,AL,1,2020-03-25,4,0.0,0.42857142857142855,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-25,-34.0,-8.0,-13.0,-9.0,-30.0,11.0
1400,1400,1734,Baldwin County,1003,AL,1,2020-03-26,5,1.0,0.5714285714285714,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-26,-36.0,-10.0,-22.0,-16.0,-32.0,12.0
1401,1401,1735,Baldwin County,1003,AL,1,2020-03-27,5,0.0,0.42857142857142855,0,0.0,0.0,223234,US,United States,Alabama,Baldwin County,,,1003.0,2020-03-27,-36.0,-9.0,-6.0,-20.0,-33.0,13.0
