,State,stateFIPS,Date,Total Deaths,Incremental Deaths,death moving_avg
1,AL,1,2020-01-22,0,,
52,AL,1,2020-01-23,0,0.0,
103,AL,1,2020-01-24,0,0.0,
154,AL,1,2020-01-25,0,0.0,
205,AL,1,2020-01-26,0,0.0,
256,AL,1,2020-01-27,0,0.0,
307,AL,1,2020-01-28,0,0.0,
358,AL,1,2020-01-29,0,0.0,0.0
409,AL,1,2020-01-30,0,0.0,0.0
460,AL,1,2020-01-31,0,0.0,0.0
511,AL,1,2020-02-01,0,0.0,0.0
562,AL,1,2020-02-02,0,0.0,0.0
613,AL,1,2020-02-03,0,0.0,0.0
664,AL,1,2020-02-04,0,0.0,0.0
715,AL,1,2020-02-05,0,0.0,0.0
766,AL,1,2020-02-06,0,0.0,0.0
817,AL,1,2020-02-07,0,0.0,0.0
868,AL,1,2020-02-08,0,0.0,0.0
919,AL,1,2020-02-09,0,0.0,0.0
970,AL,1,2020-02-10,0,0.0,0.0
1021,AL,1,2020-02-11,0,0.0,0.0
1072,AL,1,2020-02-12,0,0.0,0.0
1123,AL,1,2020-02-13,0,0.0,0.0
1174,AL,1,2020-02-14,0,0.0,0.0
1225,AL,1,2020-02-15,0,0.0,0.0
1276,AL,1,2020-02-16,0,0.0,0.0
1327,AL,1,2020-02-17,0,0.0,0.0
1378,AL,1,2020-02-18,0,0.0,0.0
1429,AL,1,2020-02-19,0,0.0,0.0
1480,AL,1,2020-02-20,0,0.0,0.0
1531,AL,1,2020-02-21,0,0.0,0.0
1582,AL,1,2020-02-22,0,0.0,0.0
1633,AL,1,2020-02-23,0,0.0,0.0
1684,AL,1,2020-02-24,0,0.0,0.0
1735,AL,1,2020-02-25,0,0.0,0.0
1786,AL,1,2020-02-26,0,0.0,0.0
1837,AL,1,2020-02-27,0,0.0,0.0
1888,AL,1,2020-02-28,0,0.0,0.0
1939,AL,1,2020-02-29,0,0.0,0.0
1990,AL,1,2020-03-01,0,0.0,0.0
2041,AL,1,2020-03-02,0,0.0,0.0
2092,AL,1,2020-03-03,0,0.0,0.0
2143,AL,1,2020-03-04,0,0.0,0.0
2194,AL,1,2020-03-05,0,0.0,0.0
2245,AL,1,2020-03-06,0,0.0,0.0
2296,AL,1,2020-03-07,0,0.0,0.0
2347,AL,1,2020-03-08,0,0.0,0.0
2398,AL,1,2020-03-09,0,0.0,0.0
2449,AL,1,2020-03-10,0,0.0,0.0
2500,AL,1,2020-03-11,0,0.0,0.0
2551,AL,1,2020-03-12,0,0.0,0.0
2602,AL,1,2020-03-13,0,0.0,0.0
2653,AL,1,2020-03-14,0,0.0,0.0
2704,AL,1,2020-03-15,0,0.0,0.0
2755,AL,1,2020-03-16,0,0.0,0.0
2806,AL,1,2020-03-17,0,0.0,0.0
2857,AL,1,2020-03-18,0,0.0,0.0
2908,AL,1,2020-03-19,0,0.0,0.0
2959,AL,1,2020-03-20,0,0.0,0.0
3010,AL,1,2020-03-21,0,0.0,0.0
3061,AL,1,2020-03-22,0,0.0,0.0
3112,AL,1,2020-03-23,0,0.0,0.0
3163,AL,1,2020-03-24,0,0.0,0.0
3214,AL,1,2020-03-25,1,1.0,0.14285714285714285
3265,AL,1,2020-03-26,1,0.0,0.14285714285714285
3316,AL,1,2020-03-27,2,1.0,0.2857142857142857
3367,AL,1,2020-03-28,3,1.0,0.42857142857142855
3418,AL,1,2020-03-29,4,1.0,0.5714285714285714
3469,AL,1,2020-03-30,6,2.0,0.8571428571428571
3520,AL,1,2020-03-31,13,7.0,1.8571428571428572
3571,AL,1,2020-04-01,16,3.0,2.142857142857143
3622,AL,1,2020-04-02,17,1.0,2.2857142857142856
3673,AL,1,2020-04-03,21,4.0,2.7142857142857144
3724,AL,1,2020-04-04,26,5.0,3.2857142857142856
3775,AL,1,2020-04-05,31,5.0,3.857142857142857
3826,AL,1,2020-04-06,32,1.0,3.7142857142857144
3877,AL,1,2020-04-07,39,7.0,3.7142857142857144
3928,AL,1,2020-04-08,48,9.0,4.571428571428571
3979,AL,1,2020-04-09,48,0.0,4.428571428571429
4030,AL,1,2020-04-10,58,10.0,5.285714285714286
4081,AL,1,2020-04-11,60,2.0,4.857142857142857
4132,AL,1,2020-04-12,61,1.0,4.285714285714286
4183,AL,1,2020-04-13,61,0.0,4.142857142857143
4234,AL,1,2020-04-14,73,12.0,4.857142857142857
4285,AL,1,2020-04-15,75,2.0,3.857142857142857
4336,AL,1,2020-04-16,82,7.0,4.857142857142857
4387,AL,1,2020-04-17,96,14.0,5.428571428571429
4438,AL,1,2020-04-18,110,14.0,7.142857142857143
4489,AL,1,2020-04-19,112,2.0,7.285714285714286
4540,AL,1,2020-04-20,112,0.0,7.285714285714286
4591,AL,1,2020-04-21,141,29.0,9.714285714285714
4642,AL,1,2020-04-22,174,33.0,14.142857142857142
4693,AL,1,2020-04-23,194,20.0,16.0
4744,AL,1,2020-04-24,208,14.0,16.0
4795,AL,1,2020-04-25,212,4.0,14.571428571428571
4846,AL,1,2020-04-26,218,6.0,15.142857142857142
4897,AL,1,2020-04-27,227,9.0,16.428571428571427
4948,AL,1,2020-04-28,240,13.0,14.142857142857142
4999,AL,1,2020-04-29,261,21.0,12.428571428571429
5050,AL,1,2020-04-30,269,8.0,10.714285714285714
