,State,stateFIPS,Date,Total Cases,Incremental Cases,cases moving_average,Total Deaths,Incremental Deaths,death moving_average
0,AL,1,2020-01-22,0,,,0,,
1,AL,1,2020-01-23,0,0.0,,0,0.0,
2,AL,1,2020-01-24,0,0.0,,0,0.0,
3,AL,1,2020-01-25,0,0.0,,0,0.0,
4,AL,1,2020-01-26,0,0.0,,0,0.0,
5,AL,1,2020-01-27,0,0.0,,0,0.0,
6,AL,1,2020-01-28,0,0.0,,0,0.0,
7,AL,1,2020-01-29,0,0.0,0.0,0,0.0,0.0
8,AL,1,2020-01-30,0,0.0,0.0,0,0.0,0.0
9,AL,1,2020-01-31,0,0.0,0.0,0,0.0,0.0
10,AL,1,2020-02-01,0,0.0,0.0,0,0.0,0.0
11,AL,1,2020-02-02,0,0.0,0.0,0,0.0,0.0
12,AL,1,2020-02-03,0,0.0,0.0,0,0.0,0.0
13,AL,1,2020-02-04,0,0.0,0.0,0,0.0,0.0
14,AL,1,2020-02-05,0,0.0,0.0,0,0.0,0.0
15,AL,1,2020-02-06,0,0.0,0.0,0,0.0,0.0
16,AL,1,2020-02-07,0,0.0,0.0,0,0.0,0.0
17,AL,1,2020-02-08,0,0.0,0.0,0,0.0,0.0
18,AL,1,2020-02-09,0,0.0,0.0,0,0.0,0.0
19,AL,1,2020-02-10,0,0.0,0.0,0,0.0,0.0
20,AL,1,2020-02-11,0,0.0,0.0,0,0.0,0.0
21,AL,1,2020-02-12,0,0.0,0.0,0,0.0,0.0
22,AL,1,2020-02-13,0,0.0,0.0,0,0.0,0.0
23,AL,1,2020-02-14,0,0.0,0.0,0,0.0,0.0
24,AL,1,2020-02-15,0,0.0,0.0,0,0.0,0.0
25,AL,1,2020-02-16,0,0.0,0.0,0,0.0,0.0
26,AL,1,2020-02-17,0,0.0,0.0,0,0.0,0.0
27,AL,1,2020-02-18,0,0.0,0.0,0,0.0,0.0
28,AL,1,2020-02-19,0,0.0,0.0,0,0.0,0.0
29,AL,1,2020-02-20,0,0.0,0.0,0,0.0,0.0
30,AL,1,2020-02-21,0,0.0,0.0,0,0.0,0.0
31,AL,1,2020-02-22,0,0.0,0.0,0,0.0,0.0
32,AL,1,2020-02-23,0,0.0,0.0,0,0.0,0.0
33,AL,1,2020-02-24,0,0.0,0.0,0,0.0,0.0
34,AL,1,2020-02-25,0,0.0,0.0,0,0.0,0.0
35,AL,1,2020-02-26,0,0.0,0.0,0,0.0,0.0
36,AL,1,2020-02-27,0,0.0,0.0,0,0.0,0.0
37,AL,1,2020-02-28,0,0.0,0.0,0,0.0,0.0
38,AL,1,2020-02-29,0,0.0,0.0,0,0.0,0.0
39,AL,1,2020-03-01,0,0.0,0.0,0,0.0,0.0
40,AL,1,2020-03-02,0,0.0,0.0,0,0.0,0.0
41,AL,1,2020-03-03,0,0.0,0.0,0,0.0,0.0
42,AL,1,2020-03-04,0,0.0,0.0,0,0.0,0.0
43,AL,1,2020-03-05,0,0.0,0.0,0,0.0,0.0
44,AL,1,2020-03-06,0,0.0,0.0,0,0.0,0.0
45,AL,1,2020-03-07,0,0.0,0.0,0,0.0,0.0
46,AL,1,2020-03-08,0,0.0,0.0,0,0.0,0.0
47,AL,1,2020-03-09,0,0.0,0.0,0,0.0,0.0
48,AL,1,2020-03-10,0,0.0,0.0,0,0.0,0.0
49,AL,1,2020-03-11,0,0.0,0.0,0,0.0,0.0
50,AL,1,2020-03-12,0,0.0,0.0,0,0.0,0.0
51,AL,1,2020-03-13,5,5.0,0.7142857142857143,0,0.0,0.0
52,AL,1,2020-03-14,11,6.0,1.5714285714285714,0,0.0,0.0
53,AL,1,2020-03-15,22,11.0,3.142857142857143,0,0.0,0.0
54,AL,1,2020-03-16,29,7.0,4.142857142857143,0,0.0,0.0
55,AL,1,2020-03-17,39,10.0,5.571428571428571,0,0.0,0.0
56,AL,1,2020-03-18,51,12.0,7.285714285714286,0,0.0,0.0
57,AL,1,2020-03-19,78,27.0,11.142857142857142,0,0.0,0.0
58,AL,1,2020-03-20,106,28.0,14.428571428571429,0,0.0,0.0
59,AL,1,2020-03-21,131,25.0,17.142857142857142,0,0.0,0.0
