,Unnamed: 0,State,stateFIPS,Date,Total Cases,Incremental Cases,cases moving_average,Total Deaths,Incremental Deaths,death moving_average,population
0,0,AL,1,2020-01-22,0,,,0,,,4903185
1,1,AL,1,2020-01-23,0,0.0,,0,0.0,,4903185
2,2,AL,1,2020-01-24,0,0.0,,0,0.0,,4903185
3,3,AL,1,2020-01-25,0,0.0,,0,0.0,,4903185
4,4,AL,1,2020-01-26,0,0.0,,0,0.0,,4903185
5,5,AL,1,2020-01-27,0,0.0,,0,0.0,,4903185
6,6,AL,1,2020-01-28,0,0.0,,0,0.0,,4903185
7,7,AL,1,2020-01-29,0,0.0,0.0,0,0.0,0.0,4903185
8,8,AL,1,2020-01-30,0,0.0,0.0,0,0.0,0.0,4903185
9,9,AL,1,2020-01-31,0,0.0,0.0,0,0.0,0.0,4903185
10,10,AL,1,2020-02-01,0,0.0,0.0,0,0.0,0.0,4903185
11,11,AL,1,2020-02-02,0,0.0,0.0,0,0.0,0.0,4903185
12,12,AL,1,2020-02-03,0,0.0,0.0,0,0.0,0.0,4903185
13,13,AL,1,2020-02-04,0,0.0,0.0,0,0.0,0.0,4903185
14,14,AL,1,2020-02-05,0,0.0,0.0,0,0.0,0.0,4903185
15,15,AL,1,2020-02-06,0,0.0,0.0,0,0.0,0.0,4903185
16,16,AL,1,2020-02-07,0,0.0,0.0,0,0.0,0.0,4903185
17,17,AL,1,2020-02-08,0,0.0,0.0,0,0.0,0.0,4903185
18,18,AL,1,2020-02-09,0,0.0,0.0,0,0.0,0.0,4903185
19,19,AL,1,2020-02-10,0,0.0,0.0,0,0.0,0.0,4903185
20,20,AL,1,2020-02-11,0,0.0,0.0,0,0.0,0.0,4903185
21,21,AL,1,2020-02-12,0,0.0,0.0,0,0.0,0.0,4903185
22,22,AL,1,2020-02-13,0,0.0,0.0,0,0.0,0.0,4903185
23,23,AL,1,2020-02-14,0,0.0,0.0,0,0.0,0.0,4903185
24,24,AL,1,2020-02-15,0,0.0,0.0,0,0.0,0.0,4903185
25,25,AL,1,2020-02-16,0,0.0,0.0,0,0.0,0.0,4903185
26,26,AL,1,2020-02-17,0,0.0,0.0,0,0.0,0.0,4903185
27,27,AL,1,2020-02-18,0,0.0,0.0,0,0.0,0.0,4903185
28,28,AL,1,2020-02-19,0,0.0,0.0,0,0.0,0.0,4903185
29,29,AL,1,2020-02-20,0,0.0,0.0,0,0.0,0.0,4903185
30,30,AL,1,2020-02-21,0,0.0,0.0,0,0.0,0.0,4903185
31,31,AL,1,2020-02-22,0,0.0,0.0,0,0.0,0.0,4903185
32,32,AL,1,2020-02-23,0,0.0,0.0,0,0.0,0.0,4903185
33,33,AL,1,2020-02-24,0,0.0,0.0,0,0.0,0.0,4903185
34,34,AL,1,2020-02-25,0,0.0,0.0,0,0.0,0.0,4903185
35,35,AL,1,2020-02-26,0,0.0,0.0,0,0.0,0.0,4903185
36,36,AL,1,2020-02-27,0,0.0,0.0,0,0.0,0.0,4903185
37,37,AL,1,2020-02-28,0,0.0,0.0,0,0.0,0.0,4903185
38,38,AL,1,2020-02-29,0,0.0,0.0,0,0.0,0.0,4903185
39,39,AL,1,2020-03-01,0,0.0,0.0,0,0.0,0.0,4903185
40,40,AL,1,2020-03-02,0,0.0,0.0,0,0.0,0.0,4903185
41,41,AL,1,2020-03-03,0,0.0,0.0,0,0.0,0.0,4903185
42,42,AL,1,2020-03-04,0,0.0,0.0,0,0.0,0.0,4903185
43,43,AL,1,2020-03-05,0,0.0,0.0,0,0.0,0.0,4903185
44,44,AL,1,2020-03-06,0,0.0,0.0,0,0.0,0.0,4903185
45,45,AL,1,2020-03-07,0,0.0,0.0,0,0.0,0.0,4903185
46,46,AL,1,2020-03-08,0,0.0,0.0,0,0.0,0.0,4903185
47,47,AL,1,2020-03-09,0,0.0,0.0,0,0.0,0.0,4903185
48,48,AL,1,2020-03-10,0,0.0,0.0,0,0.0,0.0,4903185
49,49,AL,1,2020-03-11,0,0.0,0.0,0,0.0,0.0,4903185
50,50,AL,1,2020-03-12,0,0.0,0.0,0,0.0,0.0,4903185
51,51,AL,1,2020-03-13,5,5.0,0.7142857142857143,0,0.0,0.0,4903185
52,52,AL,1,2020-03-14,11,6.0,1.5714285714285714,0,0.0,0.0,4903185
53,53,AL,1,2020-03-15,22,11.0,3.1428571428571432,0,0.0,0.0,4903185
54,54,AL,1,2020-03-16,29,7.0,4.142857142857143,0,0.0,0.0,4903185
55,55,AL,1,2020-03-17,39,10.0,5.571428571428571,0,0.0,0.0,4903185
56,56,AL,1,2020-03-18,51,12.0,7.2857142857142865,0,0.0,0.0,4903185
57,57,AL,1,2020-03-19,78,27.0,11.142857142857142,0,0.0,0.0,4903185
58,58,AL,1,2020-03-20,106,28.0,14.428571428571427,0,0.0,0.0,4903185
59,59,AL,1,2020-03-21,131,25.0,17.142857142857142,0,0.0,0.0,4903185
60,60,AL,1,2020-03-22,167,36.0,20.714285714285715,0,0.0,0.0,4903185
61,61,AL,1,2020-03-23,196,29.0,23.857142857142854,0,0.0,0.0,4903185
62,62,AL,1,2020-03-24,242,46.0,29.0,0,0.0,0.0,4903185
63,63,AL,1,2020-03-25,386,144.0,47.85714285714285,1,1.0,0.14285714285714285,4903185
64,64,AL,1,2020-03-26,531,145.0,64.71428571428571,1,0.0,0.14285714285714285,4903185
65,65,AL,1,2020-03-27,639,108.0,76.14285714285714,2,1.0,0.2857142857142857,4903185
66,66,AL,1,2020-03-28,717,78.0,83.71428571428571,3,1.0,0.42857142857142855,4903185
67,67,AL,1,2020-03-29,825,108.0,94.0,4,1.0,0.5714285714285714,4903185
68,68,AL,1,2020-03-30,941,116.0,106.42857142857143,6,2.0,0.8571428571428571,4903185
69,69,AL,1,2020-03-31,997,56.0,107.85714285714286,13,7.0,1.8571428571428568,4903185
70,70,AL,1,2020-04-01,1106,109.0,102.85714285714286,16,3.0,2.142857142857143,4903185
71,71,AL,1,2020-04-02,1270,164.0,105.57142857142857,17,1.0,2.2857142857142856,4903185
72,72,AL,1,2020-04-03,1534,264.0,127.85714285714286,21,4.0,2.7142857142857144,4903185
73,73,AL,1,2020-04-04,1632,98.0,130.71428571428572,26,5.0,3.2857142857142856,4903185
74,74,AL,1,2020-04-05,1840,208.0,145.0,31,5.0,3.8571428571428568,4903185
75,75,AL,1,2020-04-06,2003,163.0,151.71428571428572,32,1.0,3.7142857142857135,4903185
76,76,AL,1,2020-04-07,2197,194.0,171.42857142857142,39,7.0,3.7142857142857135,4903185
77,77,AL,1,2020-04-08,2497,300.0,198.7142857142857,48,9.0,4.571428571428571,4903185
78,78,AL,1,2020-04-09,2838,341.0,224.0,48,0.0,4.428571428571429,4903185
79,79,AL,1,2020-04-10,3007,169.0,210.42857142857144,58,10.0,5.285714285714286,4903185
80,80,AL,1,2020-04-11,3262,255.0,232.85714285714286,60,2.0,4.857142857142857,4903185
81,81,AL,1,2020-04-12,3581,319.0,248.7142857142857,61,1.0,4.285714285714286,4903185
82,82,AL,1,2020-04-13,3801,220.0,256.85714285714283,61,0.0,4.142857142857143,4903185
83,83,AL,1,2020-04-14,3951,150.0,250.57142857142856,73,12.0,4.857142857142857,4903185
84,84,AL,1,2020-04-15,4237,286.0,248.57142857142856,75,2.0,3.8571428571428568,4903185
85,85,AL,1,2020-04-16,4400,163.0,223.14285714285717,82,7.0,4.857142857142857,4903185
86,86,AL,1,2020-04-17,4515,115.0,215.42857142857144,96,14.0,5.428571428571429,4903185
87,87,AL,1,2020-04-18,4719,204.0,208.14285714285717,110,14.0,7.142857142857142,4903185
88,88,AL,1,2020-04-19,4897,178.0,188.0,112,2.0,7.2857142857142865,4903185
89,89,AL,1,2020-04-20,5074,177.0,181.85714285714286,112,0.0,7.2857142857142865,4903185
90,90,AL,1,2020-04-21,5317,243.0,195.14285714285717,141,29.0,9.714285714285714,4903185
91,91,AL,1,2020-04-22,5598,281.0,194.42857142857144,174,33.0,14.142857142857142,4903185
92,92,AL,1,2020-04-23,5825,227.0,203.57142857142856,194,20.0,16.0,4903185
93,93,AL,1,2020-04-24,6026,201.0,215.85714285714286,208,14.0,16.0,4903185
94,94,AL,1,2020-04-25,6213,187.0,213.42857142857144,212,4.0,14.571428571428573,4903185
95,95,AL,1,2020-04-26,6417,204.0,217.14285714285717,218,6.0,15.142857142857142,4903185
96,96,AL,1,2020-04-27,6537,120.0,209.0,227,9.0,16.428571428571427,4903185
97,97,AL,1,2020-04-28,6744,207.0,203.85714285714286,240,13.0,14.142857142857142,4903185
98,98,AL,1,2020-04-29,6916,172.0,188.28571428571428,261,21.0,12.428571428571427,4903185
99,99,AL,1,2020-04-30,7063,147.0,176.85714285714286,269,8.0,10.714285714285714,4903185
100,100,AL,1,2020-05-01,7294,231.0,181.14285714285717,287,18.0,11.285714285714285,4903185
101,101,AL,1,2020-05-02,7611,317.0,199.7142857142857,287,0.0,10.714285714285714,4903185
102,102,AL,1,2020-05-03,7885,274.0,209.7142857142857,289,2.0,10.142857142857142,4903185
103,103,AL,1,2020-05-04,8110,225.0,224.7142857142857,297,8.0,10.0,4903185
104,104,AL,1,2020-05-05,8436,326.0,241.7142857142857,314,17.0,10.571428571428571,4903185
105,105,AL,1,2020-05-06,8691,255.0,253.57142857142856,341,27.0,11.428571428571427,4903185
106,106,AL,1,2020-05-07,9046,355.0,283.2857142857143,368,27.0,14.142857142857142,4903185
107,107,AL,1,2020-05-08,9384,338.0,298.57142857142856,381,13.0,13.428571428571427,4903185
108,108,AL,1,2020-05-09,9668,284.0,293.85714285714283,388,7.0,14.428571428571427,4903185
109,109,AL,1,2020-05-10,9889,221.0,286.2857142857143,391,3.0,14.571428571428573,4903185
110,110,AL,1,2020-05-11,10164,275.0,293.42857142857144,401,10.0,14.857142857142858,4903185
111,111,AL,1,2020-05-12,10468,304.0,290.2857142857143,438,37.0,17.714285714285715,4903185
112,112,AL,1,2020-05-13,10699,231.0,286.85714285714283,448,10.0,15.285714285714285,4903185
113,113,AL,1,2020-05-14,11094,395.0,292.57142857142856,470,22.0,14.571428571428573,4903185
114,114,AL,1,2020-05-15,11387,293.0,286.14285714285717,482,12.0,14.428571428571427,4903185
115,115,AL,1,2020-05-16,11671,284.0,286.14285714285717,482,0.0,13.428571428571427,4903185
116,116,AL,1,2020-05-17,11768,97.0,268.42857142857144,485,3.0,13.428571428571427,4903185
117,117,AL,1,2020-05-18,12078,310.0,273.42857142857144,486,1.0,12.142857142857142,4903185
118,118,AL,1,2020-05-19,12374,296.0,272.2857142857143,500,14.0,8.857142857142858,4903185
119,119,AL,1,2020-05-20,13049,675.0,335.7142857142857,522,22.0,10.571428571428571,4903185
120,120,AL,1,2020-05-21,13410,361.0,330.85714285714283,529,7.0,8.428571428571429,4903185
121,121,AL,1,2020-05-22,13670,260.0,326.14285714285717,541,12.0,8.428571428571429,4903185
122,122,AL,1,2020-05-23,14152,482.0,354.42857142857144,551,10.0,9.857142857142858,4903185
123,123,AL,1,2020-05-24,14507,355.0,391.28571428571433,558,7.0,10.428571428571429,4903185
124,124,AL,1,2020-05-25,15194,687.0,445.1428571428572,566,8.0,11.428571428571427,4903185
125,125,AL,1,2020-05-26,15648,454.0,467.71428571428567,580,14.0,11.428571428571427,4903185
126,126,AL,1,2020-05-27,16029,381.0,425.71428571428567,583,3.0,8.714285714285714,4903185
127,127,AL,1,2020-05-28,16553,524.0,449.0,605,22.0,10.857142857142858,4903185
128,128,AL,1,2020-05-29,17031,478.0,480.1428571428572,610,5.0,9.857142857142858,4903185
129,129,AL,1,2020-05-30,17358,327.0,458.0,618,8.0,9.571428571428571,4903185
130,130,AL,1,2020-05-31,17849,491.0,477.4285714285714,629,11.0,10.142857142857142,4903185
131,131,AL,1,2020-06-01,18246,397.0,436.0,643,14.0,11.0,4903185
132,132,AL,1,2020-06-02,18427,181.0,397.0,650,7.0,10.0,4903185
133,133,AL,1,2020-06-03,18553,126.0,360.57142857142856,650,0.0,9.571428571428571,4903185
134,134,AL,1,2020-06-04,18766,213.0,316.14285714285717,651,1.0,6.571428571428571,4903185
135,135,AL,1,2020-06-05,19073,307.0,291.7142857142857,670,19.0,8.571428571428571,4903185
136,136,AL,1,2020-06-06,19709,636.0,335.85714285714283,684,14.0,9.428571428571429,4903185
137,137,AL,1,2020-06-07,20166,457.0,331.0,687,3.0,8.285714285714286,4903185
138,138,AL,1,2020-06-08,20590,424.0,334.85714285714283,712,25.0,9.857142857142858,4903185
139,139,AL,1,2020-06-09,21071,481.0,377.71428571428567,723,11.0,10.428571428571429,4903185
140,140,AL,1,2020-06-10,21626,555.0,439.0,739,16.0,12.714285714285715,4903185
141,141,AL,1,2020-06-11,22474,848.0,529.7142857142857,750,11.0,14.142857142857142,4903185
142,142,AL,1,2020-06-12,23333,859.0,608.5714285714286,764,14.0,13.428571428571427,4903185
143,143,AL,1,2020-06-13,24220,887.0,644.4285714285714,768,4.0,12.0,4903185
144,144,AL,1,2020-06-14,25235,1015.0,724.1428571428571,768,0.0,11.571428571428573,4903185
145,145,AL,1,2020-06-15,26272,1037.0,811.7142857142858,774,6.0,8.857142857142858,4903185
146,146,AL,1,2020-06-16,26912,640.0,834.4285714285713,785,11.0,8.857142857142858,4903185
147,147,AL,1,2020-06-17,27312,400.0,812.2857142857142,790,5.0,7.2857142857142865,4903185
148,148,AL,1,2020-06-18,28206,894.0,818.8571428571429,809,19.0,8.428571428571429,4903185
149,149,AL,1,2020-06-19,29002,796.0,809.8571428571429,821,12.0,8.142857142857142,4903185
150,150,AL,1,2020-06-20,29549,547.0,761.2857142857142,838,17.0,10.0,4903185
151,151,AL,1,2020-06-21,30021,472.0,683.7142857142858,839,1.0,10.142857142857142,4903185
152,152,AL,1,2020-06-22,30453,432.0,597.2857142857142,840,1.0,9.428571428571429,4903185
153,153,AL,1,2020-06-23,31097,644.0,597.8571428571429,864,24.0,11.285714285714285,4903185
154,154,AL,1,2020-06-24,32064,967.0,678.8571428571429,889,25.0,14.142857142857142,4903185
155,155,AL,1,2020-06-25,33206,1142.0,714.2857142857142,895,6.0,12.285714285714285,4903185
156,156,AL,1,2020-06-26,34180,974.0,739.7142857142858,906,11.0,12.142857142857142,4903185
157,157,AL,1,2020-06-27,35077,897.0,789.7142857142858,918,12.0,11.428571428571427,4903185
158,158,AL,1,2020-06-28,35430,353.0,772.7142857142858,918,0.0,11.285714285714285,4903185
159,159,AL,1,2020-06-29,37174,1744.0,960.1428571428572,929,11.0,12.714285714285715,4903185
160,160,AL,1,2020-06-30,38045,871.0,992.5714285714287,948,19.0,12.0,4903185
161,161,AL,1,2020-07-01,38962,917.0,985.4285714285713,972,24.0,11.857142857142858,4903185
162,162,AL,1,2020-07-02,40111,1149.0,986.4285714285713,985,13.0,12.857142857142858,4903185
163,163,AL,1,2020-07-03,41864,1753.0,1097.7142857142858,1006,21.0,14.285714285714285,4903185
164,164,AL,1,2020-07-04,42862,998.0,1112.142857142857,1007,1.0,12.714285714285715,4903185
165,165,AL,1,2020-07-05,43951,1089.0,1217.2857142857142,1007,0.0,12.714285714285715,4903185
166,166,AL,1,2020-07-06,44874,923.0,1100.0,1007,0.0,11.142857142857142,4903185
167,167,AL,1,2020-07-07,45784,910.0,1105.5714285714287,1033,26.0,12.142857142857142,4903185
168,168,AL,1,2020-07-08,46962,1178.0,1142.857142857143,1058,25.0,12.285714285714285,4903185
169,169,AL,1,2020-07-09,49173,2211.0,1294.5714285714287,1068,10.0,11.857142857142858,4903185
170,170,AL,1,2020-07-10,50508,1335.0,1234.857142857143,1104,36.0,14.0,4903185
171,171,AL,1,2020-07-11,51947,1439.0,1297.857142857143,1114,10.0,15.285714285714285,4903185
172,172,AL,1,2020-07-12,53587,1640.0,1376.571428571429,1121,7.0,16.285714285714285,4903185
173,173,AL,1,2020-07-13,55545,1958.0,1524.428571428571,1123,2.0,16.571428571428573,4903185
174,174,AL,1,2020-07-14,57254,1709.0,1638.571428571429,1164,41.0,18.714285714285715,4903185
175,175,AL,1,2020-07-15,59067,1813.0,1729.2857142857142,1211,47.0,21.857142857142854,4903185
176,176,AL,1,2020-07-16,61088,2021.0,1702.142857142857,1230,19.0,23.142857142857146,4903185
177,177,AL,1,2020-07-17,63091,2003.0,1797.571428571429,1264,34.0,22.857142857142854,4903185
178,178,AL,1,2020-07-18,65234,2143.0,1898.142857142857,1285,21.0,24.42857142857143,4903185
179,179,AL,1,2020-07-19,67011,1777.0,1917.7142857142856,1286,1.0,23.57142857142857,4903185
180,180,AL,1,2020-07-20,68891,1880.0,1906.571428571429,1291,5.0,24.0,4903185
181,181,AL,1,2020-07-21,70357,1466.0,1871.857142857143,1303,12.0,19.857142857142858,4903185
182,182,AL,1,2020-07-22,71812,1455.0,1820.7142857142856,1362,59.0,21.571428571428577,4903185
183,183,AL,1,2020-07-23,74211,2399.0,1874.7142857142856,1393,31.0,23.285714285714285,4903185
184,184,AL,1,2020-07-24,76005,1794.0,1844.857142857143,1436,43.0,24.57142857142857,4903185
185,185,AL,1,2020-07-25,78130,2125.0,1842.2857142857144,1453,17.0,24.0,4903185
186,186,AL,1,2020-07-26,79294,1164.0,1754.7142857142858,1471,18.0,26.42857142857143,4903185
187,187,AL,1,2020-07-27,81115,1821.0,1746.2857142857142,1491,20.0,28.57142857142857,4903185
188,188,AL,1,2020-07-28,82292,1177.0,1705.0,1491,0.0,26.857142857142854,4903185
189,189,AL,1,2020-07-29,82366,74.0,1507.7142857142858,1538,47.0,25.142857142857146,4903185
190,190,AL,1,2020-07-30,85760,3394.0,1649.857142857143,1565,27.0,24.57142857142857,4903185
191,191,AL,1,2020-07-31,87721,1961.0,1673.7142857142858,1580,15.0,20.571428571428573,4903185
192,192,AL,1,2020-08-01,89347,1626.0,1602.428571428571,1603,23.0,21.428571428571427,4903185
193,193,AL,1,2020-08-02,91442,2095.0,1735.428571428571,1627,24.0,22.285714285714285,4903185
194,194,AL,1,2020-08-03,92658,1216.0,1649.0,1633,6.0,20.285714285714285,4903185
195,195,AL,1,2020-08-04,93702,1044.0,1630.0,1666,33.0,25.0,4903185
196,196,AL,1,2020-08-05,94654,952.0,1755.428571428571,1694,28.0,22.285714285714285,4903185
197,197,AL,1,2020-08-06,96592,1938.0,1547.428571428571,1712,18.0,21.0,4903185
198,198,AL,1,2020-08-07,98299,1707.0,1511.142857142857,1733,21.0,21.857142857142854,4903185
199,199,AL,1,2020-08-08,100172,1873.0,1546.428571428571,1752,19.0,21.285714285714285,4903185
200,200,AL,1,2020-08-09,101331,1159.0,1412.7142857142858,1765,13.0,19.714285714285715,4903185
201,201,AL,1,2020-08-10,103008,1677.0,1478.571428571429,1794,29.0,23.0,4903185
202,202,AL,1,2020-08-11,103849,841.0,1449.571428571429,1843,49.0,25.285714285714285,4903185
203,203,AL,1,2020-08-12,104784,935.0,1447.142857142857,1877,34.0,26.142857142857146,4903185
204,204,AL,1,2020-08-13,105557,773.0,1280.7142857142858,1884,7.0,24.57142857142857,4903185
205,205,AL,1,2020-08-14,106309,752.0,1144.2857142857142,1888,4.0,22.142857142857146,4903185
206,206,AL,1,2020-08-15,107580,1271.0,1058.2857142857142,1891,3.0,19.857142857142858,4903185
207,207,AL,1,2020-08-16,108433,853.0,1014.5714285714287,1893,2.0,18.285714285714285,4903185
208,208,AL,1,2020-08-17,109004,571.0,856.5714285714287,1918,25.0,17.714285714285715,4903185
209,209,AL,1,2020-08-18,110358,1354.0,929.8571428571428,1929,11.0,12.285714285714285,4903185
210,210,AL,1,2020-08-19,111462,1104.0,954.0,1939,10.0,8.857142857142858,4903185
211,211,AL,1,2020-08-20,112402,940.0,977.8571428571428,1968,29.0,12.0,4903185
212,212,AL,1,2020-08-21,112770,368.0,923.0,1988,20.0,14.285714285714285,4903185
213,213,AL,1,2020-08-22,114532,1762.0,993.1428571428572,2010,22.0,17.0,4903185
214,214,AL,1,2020-08-23,115060,528.0,946.7142857142856,2012,2.0,17.0,4903185
215,215,AL,1,2020-08-24,116707,1647.0,1100.4285714285713,2023,11.0,15.0,4903185
216,216,AL,1,2020-08-25,117240,533.0,983.1428571428572,2035,12.0,15.142857142857142,4903185
217,217,AL,1,2020-08-26,119250,2010.0,1112.5714285714287,2043,8.0,14.857142857142858,4903185
218,218,AL,1,2020-08-27,121023,1773.0,1231.5714285714287,2074,31.0,15.142857142857142,4903185
219,219,AL,1,2020-08-28,122183,1160.0,1344.7142857142858,2105,31.0,16.714285714285715,4903185
220,220,AL,1,2020-08-29,123889,1706.0,1336.7142857142858,2150,45.0,20.0,4903185
221,221,AL,1,2020-08-30,125235,1346.0,1453.571428571429,2159,9.0,21.0,4903185
222,222,AL,1,2020-08-31,126058,823.0,1335.857142857143,2179,20.0,22.285714285714285,4903185
223,223,AL,1,2020-09-01,127615,1557.0,1482.142857142857,2197,18.0,23.142857142857146,4903185
224,224,AL,1,2020-09-02,128238,623.0,1284.0,2214,17.0,24.42857142857143,4903185
225,225,AL,1,2020-09-03,129284,1046.0,1180.142857142857,2230,16.0,22.285714285714285,4903185
226,226,AL,1,2020-09-04,130393,1109.0,1172.857142857143,2262,32.0,22.428571428571423,4903185
227,227,AL,1,2020-09-05,131803,1410.0,1130.5714285714287,2269,7.0,17.0,4903185
228,228,AL,1,2020-09-06,132313,510.0,1011.1428571428572,2270,1.0,15.857142857142858,4903185
229,229,AL,1,2020-09-07,132972,659.0,987.7142857142856,2270,0.0,13.0,4903185
230,230,AL,1,2020-09-08,133605,633.0,855.7142857142858,2271,1.0,10.571428571428571,4903185
231,231,AL,1,2020-09-09,134416,811.0,882.5714285714287,2278,7.0,9.142857142857142,4903185
232,232,AL,1,2020-09-10,135565,1149.0,897.2857142857142,2298,20.0,9.714285714285714,4903185
233,233,AL,1,2020-09-11,136703,1138.0,901.4285714285713,2328,30.0,9.428571428571429,4903185
234,234,AL,1,2020-09-12,137646,943.0,834.7142857142858,2344,16.0,10.714285714285714,4903185
235,235,AL,1,2020-09-13,138753,1107.0,920.0,2345,1.0,10.714285714285714,4903185
